frame,image load Time,image convertion time,kernel calculation time,image display time 
299,0.141300,0.026600,2.345400,13.470000
300,0.119000,0.024400,2.441900,13.424900
301,0.110300,0.025300,2.251400,13.595900
302,0.125000,0.026700,2.343800,13.502200
303,0.092800,0.024100,2.345900,13.528500
304,0.140500,0.025600,2.346700,13.492900
305,0.149700,0.032400,2.584400,13.225000
306,0.116900,0.025500,2.379800,13.609200
307,0.109800,0.027700,2.475300,13.245600
308,0.121200,0.019600,2.247200,12.916900
309,0.088800,0.019800,2.508100,13.078500
310,0.129600,0.027900,2.361700,12.992500
311,0.108200,0.024000,2.468300,12.695900
312,0.117200,0.020300,2.400800,13.478000
313,0.112000,0.025600,2.338700,13.522600
314,0.129300,0.025600,2.374400,12.623000
315,0.104000,0.024200,2.349700,12.640200
316,0.091000,0.023300,2.302300,13.474500
317,0.176300,0.029400,2.382600,13.394000
318,0.121500,0.022400,2.248800,13.606700
319,0.118500,0.024900,2.370900,13.479000
320,0.106000,0.019700,2.241900,13.755300
321,0.094400,0.024200,2.312100,13.443000
322,0.107600,0.024400,2.312100,13.679500
323,0.099500,0.023500,2.355300,13.389100
324,0.146900,0.023900,2.434300,13.400100
325,0.138900,0.028200,2.342100,13.601800
326,0.114700,0.020500,2.333100,13.416400
327,0.106400,0.021800,2.381800,13.472300
328,0.104400,0.024700,2.373400,13.503500
329,0.113200,0.025200,2.576000,13.288800
330,0.096500,0.020200,2.264300,13.610000
331,0.103600,0.025200,2.344800,13.514300
332,0.105100,0.023800,2.359800,13.519400
333,0.108400,0.024800,2.406500,13.446600
334,0.119300,0.024800,2.339600,13.512700
335,0.099600,0.025200,2.349400,13.526000
336,0.103700,0.023900,2.416100,13.456300
337,0.078200,0.018800,2.350500,13.547800
338,0.108900,0.025500,2.329400,13.537300
339,0.100300,0.020100,2.245700,13.636400
340,0.122000,0.026000,2.368000,13.495300
341,0.114900,0.025600,2.332300,13.106700
342,0.097200,0.023500,2.391900,13.512200
343,0.182200,0.042100,2.696700,12.443000
344,0.183500,0.025200,2.331000,13.447100
345,0.098800,0.024300,2.549300,13.349700
346,0.114300,0.027600,2.322300,12.515500
347,0.109100,0.023500,2.417400,12.564500
348,0.126200,0.020900,2.242700,13.501800
349,0.102900,0.024600,2.348900,12.617600
350,0.102400,0.025000,2.324700,13.427200
351,0.088500,0.023800,2.325600,13.563800
352,0.113800,0.021400,2.265500,12.594000
353,0.092600,0.024200,2.494800,12.686300
354,0.126300,0.025700,2.447800,13.094400
355,0.108800,0.025000,2.310900,13.545200
356,0.145700,0.021200,2.225200,13.735400
357,0.095000,0.024100,2.318500,13.433700
358,0.086700,0.023300,2.339900,12.673500
359,0.118000,0.023600,2.331500,13.401500
360,0.125600,0.040100,2.400500,13.429400
361,0.125000,0.025400,2.352200,13.484800
362,0.131600,0.026500,2.625900,13.223700
363,0.125900,0.025400,2.333800,13.505200
364,0.148800,0.025200,2.346100,13.530800
365,0.122000,0.025100,2.303500,13.482600
366,0.106200,0.025000,2.350700,13.516000
367,0.106900,0.025300,2.350200,13.510300
368,0.113700,0.025200,2.454200,12.533200
369,0.102800,0.024700,2.325800,13.416400
370,0.088500,0.018900,2.236500,13.671300
371,0.110200,0.025200,2.457400,13.385800
372,0.118200,0.024500,2.543100,12.318000
373,0.103800,0.023600,2.304100,13.166800
374,0.138500,0.024000,2.563500,13.298700
375,0.122500,0.026900,2.591100,12.635200
376,0.117900,0.025500,2.362800,12.476600
377,0.090400,0.024200,2.480400,12.418100
378,0.116000,0.022100,2.252000,12.608100
379,0.106000,0.025200,2.343500,12.798000
380,0.100600,0.020500,2.505100,13.079800
381,0.117200,0.025900,2.459000,13.384100
382,0.133700,0.024700,2.385100,12.459000
383,0.111700,0.023600,2.327000,13.536500
384,0.124900,0.026400,2.439400,13.525400
385,0.093500,0.024300,2.313500,13.442900
386,0.123200,0.025800,2.316500,13.530300
387,0.095000,0.019300,2.222400,13.657200
388,0.106400,0.024600,2.353400,12.528900
389,0.135600,0.024700,2.460400,13.360300
390,0.170600,0.027400,2.968700,11.836700
391,0.107700,0.025500,2.349400,12.513700
392,0.117800,0.025900,2.363600,12.789000
393,0.092400,0.023500,2.502900,13.393000
394,0.164600,0.026800,2.702400,13.089800
395,0.164900,0.027100,2.482000,13.009100
396,0.125100,0.024900,2.322300,13.532400
397,0.137000,0.025400,2.352100,12.474500
398,0.108200,0.023200,2.356100,13.517400
399,0.089900,0.019500,2.333500,13.546100
400,0.096300,0.024000,2.352800,12.655700
401,0.092500,0.024000,2.300400,13.461600
402,0.117700,0.020900,2.289500,13.572900
403,0.146600,0.026400,2.314300,13.491800
404,0.111400,0.024200,2.391300,12.480700
405,0.127000,0.024500,2.348500,13.491600
406,0.118700,0.024000,2.444800,13.418600
407,0.101800,0.024300,2.468800,13.511900
408,0.091800,0.024200,2.312700,13.453800
409,0.078000,0.018700,2.286000,13.615400
410,0.150600,0.024700,2.304300,13.531200
411,0.093600,0.023700,2.475500,13.389300
412,0.129600,0.026100,2.319400,13.514400
413,0.125000,0.024900,2.423300,13.415400
414,0.124100,0.023900,2.453300,12.704600
415,0.100500,0.024400,2.514000,13.179200
416,0.103400,0.023800,2.420000,13.475600
417,0.119900,0.024900,2.314600,13.507600
418,0.113700,0.026200,2.329400,13.535100
419,0.118300,0.025400,2.405300,13.444600
420,0.106000,0.020800,2.255500,13.485900
421,0.086400,0.023700,2.471800,13.410500
422,0.091300,0.024000,2.364200,12.525300
423,0.102500,0.023400,2.330000,13.539200
424,0.133900,0.020000,2.266500,13.567500
425,0.080700,0.024100,2.382700,13.521000
426,0.109800,0.024900,2.328700,12.666800
427,0.155200,0.027500,2.322300,13.361500
428,0.132300,0.030600,2.535800,12.316200
429,0.133000,0.025200,2.358200,13.453300
430,0.110300,0.025100,2.468500,13.424500
431,0.148000,0.024000,2.535600,13.382000
432,0.112100,0.024800,2.342100,13.400300
433,0.106400,0.025900,2.460500,13.394300
434,0.111800,0.023500,2.320100,12.549400
435,0.094200,0.024600,2.352900,12.524500
436,0.093700,0.019700,2.275100,13.614400
437,0.116400,0.026700,2.478500,13.382700
